Event ID,Event Name,Event Category,Corresponding Level 1 Category,Test Event Yes/No,Event Type,Predecessor Event ID,Event Owner,Event Approver,Event Stage,Created On - Date,Created On - Time,Published On - Date,Published On - Time,End Date,End Time,Auction Start Date,Auction Start Time,Awarded On,Event Currency,Baseline Price,Event Savings,Awarded Savings
1,Test_Bhupender,Production systems equipment,Mining & Well Drilling Machinery & Accessories,Yes,Auction,,Bhupender Kaushik,Bhupender Kaushik,Analyze & Award,19-Jan-2024,02:13 PM,19-Jan-2024,02:21 PM,21-Jan-2024,03:08 AM,19-Jan-2024,02:30 PM,-,INR,100000,0,-
2,Test Auction,Heavy equipment components,Building & Construction Machinery & Accessories,Yes,Auction,1,Bhupender Kaushik,Bhupender Kaushik,Analyze & Award,22-Jan-2024,09:31 PM,22-Jan-2024,09:32 PM,22-Jan-2024,10:41 PM,22-Jan-2024,09:35 PM,-,INR,100000,10000,-
3,Test Multiple Lots,Raw materials,Paper Materials & Products,Yes,Auction,2,Bhupender Kaushik,Bhupender Kaushik,Analyze & Award,24-Jan-2024,07:24 PM,24-Jan-2024,07:32 PM,24-Jan-2024,07:53 PM,24-Jan-2024,07:36 PM,-,INR,247.7,0.4,-
4,Test Steel,Raw materials,Paper Materials & Products,Yes,Auction,3,Bhupender Kaushik,Bhupender Kaushik,Analyze & Award,24-Jan-2024,08:59 PM,24-Jan-2024,09:23 PM,25-Jan-2024,05:37 PM,24-Jan-2024,09:30 PM,-,INR,1194,0,-
5,Main Event_ITL_Civil & Electrical Job Work for Lift_Reverse Auction_25th Jan'24,Civil engineering,Engineering & Research & Technology Based Services,No,Auction,,Bhupender Kaushik,Bhupender Kaushik,Analyze & Award,24-Jan-2024,10:00 PM,25-Jan-2024,09:59 AM,25-Jan-2024,11:48 AM,25-Jan-2024,11:00 AM,-,INR,492630,11253.93,-
6,Main Event_ITL_Instruments Mitutoyo_Reverse Auction_25th Jan'24,Measuring & layout tools,Tools & General Machinery,No,Auction,,Bhupender Kaushik,Bhupender Kaushik,Analyze & Award,24-Jan-2024,10:29 PM,25-Jan-2024,10:51 AM,25-Jan-2024,01:13 PM,25-Jan-2024,12:30 PM,-,INR,189585,2335,-
7,Main Event_ITL_Gear Cutting Tools_Reverse Auction_25th Jan'24,"Cutting tools
Conventional drilling tools","Mining & Well Drilling Machinery & Accessories
Industrial Manufacturing & Processing Machinery & Accessories",No,Auction,,Bhupender Kaushik,Bhupender Kaushik,Analyze & Award,25-Jan-2024,12:18 PM,25-Jan-2024,12:29 PM,25-Jan-2024,03:55 PM,25-Jan-2024,03:00 PM,-,INR,404117,41607,-
8,Main Event_ITL_Import by Air-AI40514 & AI40516_Reverse Auction_25th Jan'24,Transport arrangements,Transportation & Storage & Mail Services,No,Auction,,Bhupender Kaushik,Bhupender Kaushik,Analyze & Award,25-Jan-2024,01:48 PM,25-Jan-2024,02:26 PM,25-Jan-2024,05:21 PM,25-Jan-2024,04:00 PM,-,INR,802700,78675,-
9,Main Event_ITL_Magnetic Filter & Pump System_Sonalika Inds_Reverse Auction_29th Jan'24,Filters,Distribution & Conditioning Systems & Equipment & Components,No,Auction,,Bhupender Kaushik,Bhupender Kaushik,Analyze & Award,27-Jan-2024,10:20 PM,29-Jan-2024,09:25 AM,29-Jan-2024,11:44 AM,29-Jan-2024,11:00 AM,-,INR,1395000,5000,-
10,Main Event_ITL_SAE Material_Reverse Auction_29th Jan'24,"Raw materials
Base Metals","Paper Materials & Products
Mineral & Textile & Inedible Plant & Animal Materials",No,Auction,,Bhupender Kaushik,Bhupender Kaushik,Analyze & Award,27-Jan-2024,10:29 PM,29-Jan-2024,09:26 AM,29-Jan-2024,01:04 PM,29-Jan-2024,12:00 PM,-,INR,896,15,-
